ABELL 2697                     00:03:11.80  -06:05:10.00  0.232  N   ABELL 2697                     00:03:11.80  -06:05:10.00  0.232  okabe&15              2015arXiv150704493O     1.300   0.657   5.886   1.214  11.786   2.536  16.729   4.364   1.574   0.142   4.655   0.502   8.145   0.979
ABELL 2744                     00:14:18.90  -30:23:22.00  0.308  N   ABELL 2744                     00:14:18.90  -30:23:22.00  0.308  medezinski+15         2015arXiv150703992M     5.104   1.041  13.849   2.824  20.600   4.200  24.391   4.973   3.652   0.443   8.844   0.969  13.626   1.671
CL 0016+16                     00:18:33.45  +16:26:13.00  0.547  N   Cl 0016+16                     00:18:33.84  +16:26:16.60  0.541  applegate+14          2014MNRAS.439...48A     7.122   1.842  17.821   4.609  25.756   6.661  29.101   7.526   5.051   0.718  11.749   1.940  17.690   3.148
ABELL 22                       00:20:38.60  -25:43:19.20  0.141  N   ABELL 22                       00:20:42.80  -25:42:37.00  0.142  cypriano+04           2004ApJ...613...95C     1.012   0.512   2.263   1.146   3.578   1.812   4.760   2.410   1.239   0.441   2.478   0.881   3.717   1.322
ACT-CL J0022.2-0036            00:22:13.00  -00:36:33.80  0.805  NA  NA NA                          NA           NA            NA     miyatake+13           2013MNRAS.429.3627M     4.410   2.274  13.515   6.969  13.515   6.969  13.157   6.784   3.440   1.022   7.568   2.594  11.050   4.058
MACS J0025.4-1222              00:25:29.91  -12:22:44.64  0.585  N   MACS J0025.4-1222              00:25:29.38  -12:22:37.10  0.584  applegate+14          2014MNRAS.439...48A     3.965   1.392   9.922   3.483  14.340   5.034  16.130   5.663   3.704   0.750   8.150   1.902  11.899   2.975
Cl 0024+17                     00:26:36.00  +17:08:36.00  0.390  N   ZwCl 0024.0+1652               00:26:35.70  +17:09:46.00  0.390  umetsu+11             2011ApJ...729..127U     6.600   0.900  12.329   1.943  17.057   2.686  18.986   3.200   3.867   0.353   8.433   0.887  12.254   1.381
[VMF98] 1                      00:30:34.00  +26:18:10.00  0.500  N   WARP J0030.5+2618              00:30:33.20  +26:18:19.00  0.500  gonzalez+15           2015arXiv150403364J     1.161   0.581   2.906   1.453   4.200   2.100   4.774   2.387   1.702   0.532   3.396   1.204   4.712   1.770
ABELL 68                       00:37:05.95  +09:09:36.02  0.255  N   ABELL 68                       00:37:05.30  +09:09:11.00  0.255  applegate+14          2014MNRAS.439...48A     3.665   0.634   9.171   1.587  13.254   2.294  15.670   2.712   3.005   0.293   6.791   0.767  10.061   1.220
ABELL 85                       00:41:48.70  -09:19:04.80  0.056  N   ABELL 85                       00:41:50.10  -09:18:07.00  0.055  cypriano+04           2004ApJ...613...95C     2.048   0.557   4.579   1.245   7.240   1.968   9.947   2.704   1.972   0.362   3.943   0.725   5.915   1.087
